,0,1, 
454,DSM 45252,"['65', '215', '535', '553', '554', 'J43', 'J51']",Actinomadura meridiana

455,DSM 25209,"['464', 'J74']",Chryseobacterium koreense

456,DSM 45176,['645'],Mycobacterium riyadhense

457,DSM 43132,['65'],Nocardia asteroides

458,DSM 4366,"['65', '92', '219', '354', '449', '553', '693', 'J43', 'J57']",Lactococcus lactis

459,DSM 26811,"['830', '948']",Microbacterium nanhaiense

460,DSM 9658,['92'],Brevibacterium casei

461,DSM 102395,"['595', '830']",Caulobacter sp.

462,DSM 14543,['86a'],Meiothermus taiwanensis

463,DSM 111808,"['693', '1611']",Segatella copri

464,DSM 17425,['104b'],Clostridium aciditolerans

465,DSM 1068,"['1', '27', '58', '65', '84', '104c', '220', '252', '339', '381', '514', '553', '554', '693', '830', '964', '987', '1033', '1203a', '1611', '1630a', '1688', '1713', '1731', 'J14', 'J22', 'J254', 'J282', 'J677', 'J1130', 'J1210']",Rhodospirillum rubrum

466,DSM 14549,"['92', 'J26']",Kineosphaera sp.

467,DSM 45402,"['535a', '693', 'J28', 'J256']",Corynebacterium canis

468,DSM 1704,"['9', '11b', '90', '104b', '110', '220', '514', '545', '830', '1117', '1203', 'J75', 'J118']",Coprinus micaceus

469,DSM 110123,"['535', '545']",Paraburkholderia madseniana

470,DSM 22903,['535'],Leclercia sp.

471,DSM 3583,['1'],Xanthomonas albilineans

472,DSM 30942,['220'],Bacillus subtilis

473,DSM 7146,"['105', '626']",Gluconobacter frateurii

474,DSM 21394,['641'],Moorella caeni

475,DSM 15819,"['104', '693', 'J282']",Aerococcus christensenii

476,DSM 9463,['670'],Acidithiobacillus thiooxidans

477,DSM 41134,"['65', '84']",Kitasatospora aureofaciens

478,DSM 1758,"['1', '92', '514', '535', '693', 'J27', 'J79']",Methylobacillus sp.

479,DSM 14734,"['9', '9a', 'J436']",Polyangium spumosum

480,DSM 45820,"['514', '1317', 'J118']",Salinispora pacifica

481,DSM 103688,"['1', '830', '948']",Elizabethkingia ursingii

482,DSM 5152,"['9', '514']",Hyphomonas hirschiana

483,DSM 110541,['514'],Limimaricola variabilis

484,DSM 24469,['514'],Maribacter sp.

485,DSM 100337,"['898a', 'J1076']",Alkaliphilus serpentinus

486,DSM 30545,['830'],Acinetobacter lwoffii

487,DSM 40960,"['65', '252']",Streptomyces scabiei

488,DSM 29435,['830'],Humibacillus sp.

489,DSM 319,"['1', '90', '190', '358a', 'J174', 'J175']",Priestia megaterium

490,DSM 8436,"['163', 'J750']",Desulfobaculum senezii

491,DSM 23546,"['514', 'J118']",Maribacter arcticus

492,DSM 5918,['63'],Desulfomicrobium apsheronum

493,DSM 23037,['11'],Holzapfeliella floricola

494,DSM 110915,"['215', '693']",Eggerthella lenta

495,DSM 9257,['1153'],Sphingomonas sp.

496,DSM 41352,"['65', '84']",Streptomyces sp.

497,DSM 13627,"['1a', '535']",Pseudomonas stutzeri

498,DSM 76,"['1', '6', '63', '65', '78', '125', '129', '535', '645', '693', '1203a', 'J13', 'J14', 'J22', 'J30', 'J79']",Metabacillus fastidiosus

499,DSM 589,"['1', '67', '123', '620', '628', 'J74', 'J118', 'J346', 'J631']",Herpetosiphon giganteus

500,DSM 4858,"['381', '450']",Escherichia coli

501,DSM 5155,"['9', '514']",Hyphomonas oceanitis

502,DSM 18261,"['65', 'J76']",Brevibacterium album

503,DSM 51160,['9'],Corallococcus coralloides

504,DSM 8782,['1'],Bacillus licheniformis

505,DSM 41706,"['65', '84']",Streptomyces albidoflavus

506,DSM 18487,['220'],Paenibacillus sp.

507,DSM 1629,"['1', '90', '104', '665', '1011', '1023', '1097', 'J356']",Psilocybe cubensis

508,DSM 30969,['220'],Bacillus mycoides

509,DSM 6069,['1'],Bacillus thuringiensis

510,DSM 26497,['514'],Alteromonas macleodii

511,DSM 6545,['1'],Paenibacillus validus

512,DSM 5282,"['9', '429']",Pasteurella multocida subsp. multocida

513,DSM 27477,['535'],Ralstonia syzygii subsp. celebesensis

514,DSM 109053,['1203a'],Flavonifractor plautii

515,DSM 21164,['514'],Cellulophaga tyrosinoxydans

516,DSM 52578,['9'],Myxococcales unclassified

517,DSM 15077,['220'],Niallia nealsonii

518,DSM 52901,['9'],Melittangium lichenicola

519,DSM 9412,"['535', '693']",Kluyvera cryocrescens

520,DSM 104167,['1678'],Leptolyngbya sp.

521,DSM 6234,"['92', '129', '693']",Enterobacter cloacae

522,DSM 51206,['9'],Corallococcus coralloides

523,DSM 126,"['1', '1a', '11', '27', '65', '90', '92', '101', '129', '186', '188', '189', '215', '220', '339', '457', '465', '514', '535', '693', '788', '830', '870', '874', '892', '902', '916', 'J27', 'J28', 'J43', 'J70', 'J272', 'J283', 'J475']",Rhodopseudomonas palustris

524,DSM 46783,['1536'],Parafrankia  elaeagni

525,DSM 24453,['826'],Geobacter sp.

526,DSM 21095,"['514', 'J41', 'J118']",Photobacterium profundum

527,DSM 8295,['90'],Postia ptychogaster

528,DSM 482,"['1', '90', '392']",Bacillus sp.

529,DSM 276,"['1', '1a', '2', '9', '11', '65', '67', '78', '92', '104', '104b', '105', '115a', '186', '215', '220', '360', '381', '434', '503b', '514', '535', '545', '693', '830', '1076b', '1193', '1203', '1250', '1293', '1500', '1509', '1512', 'J26', 'J28', 'J43', 'J475', 'J653', 'J766', 'J998', 'J1130']",Sporosarcina pasteurii

530,DSM 51956,['9'],Corallococcus macrosporus

531,DSM 110988,['92'],Gordonia bronchialis

532,DSM 105865,['110'],Fusobacterium perfoetens

533,DSM 23397,['535'],Pseudomonas brassicacearum subsp. neoaurantiaca

534,DSM 11303,"['1', '878']",Deinococcus murrayi

535,DSM 52898,['9'],Melittangium boletus

536,DSM 44774,"['65', 'J58']",Pseudonocardia zijingensis

537,DSM 106607,['693'],Culicoidibacter larvae

538,DSM 15549,"['989', 'J97']",Acetobacter cibinongensis

539,DSM 40133,"['65', 'J45', 'J50']",Streptomyces resistomycificus

540,DSM 30077,['1'],Pantoea sp.

541,DSM 107969,['11'],Lentilactobacillus buchneri subsp. silagei

542,DSM 44130,"['65', '84', '554', 'J58']",Actinomadura rugatobispora

543,DSM 22760,"['92', '736', '830']",Arsenicicoccus piscis

544,DSM 112876,['1593'],Timaviella edaphica

545,DSM 52807,['9'],Archangium violaceum

546,DSM 2654,"['11', '92', '129', '215', '220', '381', '693']",Sclerotium delphinii

547,DSM 100849,"['535', 'J22']",Paraburkholderia monticola

548,DSM 3914,"['7', '81', '428']",Ancylobacter polymorphus

549,DSM 103921,"['195a', 'J391']",Desulfosarcina widdelii

550,DSM 30869,['92'],Staphylococcus warneri

551,DSM 53137,['9'],Nannocystis exedens subsp. glomerata

552,DSM 26,"['1', '1a', '7', '11', '27', '29', '31', '40', '58', '61', '63', '65', '78', '81', '90', '92', '98', '104', '104a', '104b', '104c', '110', '110a', '119', '120a', '124', '129', '141c', '163', '186', '189', '191', '198', '212', '215', '220', '269', '281', '282', '286', '306', '308', '310', '311', '311c', '323', '339', '362', '381', '393', '403', '428', '429', '457', '461', '462', '513', '514', '514a', '514b', '514c', '514d', '514f', '516', '535', '535b', '545', '572', '592', '595', '607', '621', '634c', '641', '693', '736', '801', '813', '813b', '826', '830', '830c', '838', '840', '880', '907', '948', '950', '960', '987', '1011', '1011b', '1076b', '1101a', '1113', '1140', '1193', '1203', '1203a', '1205', '1250', '1267', '1304', '1352', '1426', '1449', '1458', '1459', '1464', '1468', '1469', '1470', '1472', '1473', '1474', '1480', '1481', '1482', '1483', '1484', '1496', '1508', '1515', '1517', '1518', '1519', '1520', '1523', '1525', '1526a', '1526b', '1526c', '1526d', '1528', '1531', '1556', '1569', '1577', '1601', '1611', '1630', '1630c', '1661', 'J12', 'J13', 'J14', 'J22', 'J25', 'J26', 'J27', 'J28', 'J30', 'J41', 'J42', 'J43', 'J74', 'J75', 'J84', 'J118', 'J181', 'J182', 'J230', 'J232', 'J254', 'J282', 'J346', 'J377', 'J393', 'J409', 'J443', 'J465', 'J475', 'J569', 'J574', 'J582', 'J628', 'J674', 'J677', 'J721', 'J853', 'J907', 'J944', 'J945', 'J946', 'J950', 'J953', 'J954', 'J957', 'J958', 'J960', 'J962', 'J967', 'J977', 'J982', 'J986', 'J987', 'J1004', 'J1130', 'J1328']",Virgibacillus pantothenticus

553,DSM 103384,"['65', '84', '252']",Streptomyces alfalfae

554,DSM 7450,['514'],Pseudomonas sp.

555,DSM 11105,"['1', '90', '104', '428', '693', '830', '1494', '1543']",Xanthobacter tagetidis

556,DSM 15607,['92'],Macrococcus bovicus

557,DSM 29489,"['339', '693']",Muricomes intestini

558,DSM 11555,"['92', '98', 'J254']",Mesorhizobium mediterraneum

559,DSM 7372,"['92', '693']",Enterococcus casseliflavus

560,DSM 24202,"['960', 'J836']",Oligosphaera ethanolica

561,DSM 17642,['220'],Cohnella hongkongensis

562,DSM 51584,['9'],Corallococcus coralloides

563,DSM 46456,"['65', '84', 'J45', 'J66']",Streptomyces sp.

564,DSM 5082,['90'],Phellinus hartigii

565,DSM 41973,"['65', '252']",Streptomyces sp.

566,DSM 104271,"['215', '693']",Hutsoniella sourekii

567,DSM 24739,['1163a'],Mesotoga prima

568,DSM 51925,['9'],Corallococcus exiguus

569,DSM 52307,['9'],Myxococcus virescens

570,DSM 27517,['535'],Sphingomonas pseudosanguinis

571,DSM 45795,"['535a', 'J26']",Corynebacterium glyciniphilum

572,DSM 41829,"['65', '84', '252', 'J42']",Streptomyces africanus

573,DSM 28724,['514'],Bacillus sp.

574,DSM 107246,"['58', '339']",Bifidobacterium longum subsp. infantis

575,DSM 17463,['372'],Halorubrum ezzemoulense

576,DSM 51783,['9'],Corallococcus coralloides

577,DSM 23310,"['1237', 'J671', 'J814']",Tepidimicrobium xylanilyticum

578,DSM 43860,"['65', '84', '252', 'J58']",Kitasatospora phosalacinea

579,DSM 44878,"['65', '83', '535']",Nocardiopsis sp.

580,DSM 26620,['1464'],Chitinivibrio alkaliphilus

581,DSM 100039,['98'],Mesorhizobium sangaii

582,DSM 3715,['90'],Hypholoma capnoides

583,DSM 1218,"['1', '310', '535', '711a']",Scopulariopsis brevicaulis

584,DSM 20192,['11'],Leuconostoc lactis

585,DSM 103859,['92'],Serinibacter arcticus

586,DSM 112387,"['92', '693']",Microbacterium gallinarum

587,DSM 113849,['638'],Limosilactobacillus avium

588,DSM 16294,"['1011', 'J356']",Sulfurimonas autotrophica

589,DSM 21476,['1'],Flavobacterium sp.

590,DSM 103955,['92'],Staphylococcus sp.

591,DSM 70590,['186'],Debaryomyces hansenii

592,DSM 44391,"['65', '83', 'J49', 'J66']",Saccharomonospora xinjiangensis

593,DSM 41333,"['65', '252']",Streptomyces sp.

594,DSM 20501,"['92', '693']",Staphylococcus carnosus

595,DSM 12632,"['892', 'J272']",Methanocalculus pumilus

596,DSM 41457,"['65', '84', 'J42']",Streptomyces glomeratus

597,DSM 112926,['381'],Phage (phagum)

598,DSM 106007,"['1', '65', '215', '220', '535']",Hasllibacter sp.

599,DSM 53686,['9'],Stigmatella erecta

600,DSM 17994,"['760', 'J280']",Thermococcus celericrescens

601,DSM 12907,"['194', 'J430']",Desulfosporomusa polytropa

602,DSM 41225,"['65', '84']",Streptomyces albus subsp. albus

603,DSM 15178,"['92', 'J28']",Mycetocola saprophilus

604,DSM 838,"['90', '129', '298']",Epicoccum nigrum

605,DSM 26339,"['129', '186']",Hanseniaspora jakobsenii

606,DSM 117419,['104c'],Lachnospira sp.

607,DSM 116187,['381'],Escherichia coli

608,DSM 24490,['514'],Arthrobacter sp.

609,DSM 5728,"['90', '129', '186']",Tremella mycetophiloides

610,DSM 10795,"['92', '104b', '122', '255', '381', '514f', '645', '693']",Escherichia coli

611,DSM 15199,['535'],Photorhabdus thracensis

612,DSM 106017,['58'],Bifidobacterium sp.

613,DSM 21395,"['58', 'J697']",Bifidobacterium mongoliense

614,DSM 30154,['830'],Rhizobium sp.

615,DSM 30658,['220'],Staphylococcus sp.

616,DSM 12778,['844'],Bacteriovorax stolpii

617,DSM 5824,"['123', 'J118']",Ruegeria atlantica

618,DSM 109499,['1695'],Stieleria varia

619,DSM 53068,['9'],Nannocystis exedens

620,DSM 45431,"['65', '553', '554', 'J61']",Micromonospora rhizosphaerae

621,DSM 12803,['63'],Desulfovibrio sp.

622,DSM 104137,['1'],Bacillus mycoides

623,DSM 25450,['215'],Acidipropionibacterium damnosum

624,DSM 41477,"['65', '84', 'J50', 'J58', 'J66']",Streptomyces rubrogriseus

625,DSM 43048,"['65', '84', '252', 'J52']",Sphaerimonospora mesophila

626,DSM 20700,"['104', '693', 'J14', 'J84']",Cutibacterium granulosum

627,DSM 102560,['830'],Acidovorax sp.

628,DSM 1636,"['11', '92', '693', '830', '1058d', '1494', 'J26', 'J475']",Serratia marcescens

629,DSM 13528,"['640', '879']",Clostridium ljungdahlii

630,DSM 25984,['J118'],Leucothrix pacifica

631,DSM 43757,"['65', 'J43']",Nocardia asteroides

632,DSM 40219,"['65', 'J51', 'J66']",Streptomyces amakusaensis

633,DSM 41303,"['65', '84']",Streptomyces sp.

634,DSM 24695,['514'],Algoriphagus machipongonensis

635,DSM 27361,['1500'],Candidatus Protochlamydia amoebophila

636,DSM 44586,"['65', 'J43']",Amycolatopsis keratiniphila subsp. keratiniphila

637,DSM 53541,['9'],Sorangium cellulosum

638,DSM 1520,"['1', '92', '503', '514', '958', '960', '1602', 'J26', 'J341']",Geobacillus sp.

639,DSM 27533,['186'],Phialosimplex salinarum

640,DSM 22726,['514'],Idiomarina sp.

641,DSM 29874,['78'],Peptoniphilus catoniae

642,DSM 21432,['693'],Bartonella alsatica

643,DSM 14520,"['1', '428']",Xanthobacter sp.

644,DSM 5154,"['9', '514']",Hyphomonas neptunium

645,DSM 104249,['1680'],Coleofasciculus chthonoplastes

646,DSM 40713,"['65', '84']",Streptomyces sp.

647,DSM 28997,['1285'],Acidicapsa ferrireducens

648,DSM 106191,"['339', '693']",Enterococcus gallinarum

649,DSM 9884,"['1', '535']",Robbsia andropogonis

650,DSM 22363,['514'],Sphingorhabdus marina

651,DSM 23637,['693'],Psychrobacter sanguinis

652,DSM 227,"['1', '9', '11', '28', '35a', '58', '90', '92', '110', '120d', '130', '141', '215', '220', '222', '223', '339a', '429', '514', '514b', '514c', '535', '541', '545', '693', '736', '830', '1076b', '1115', '1205', '1209', '1234', '1242', '1250', '1266', '1273', '1277', '1304', '1539', 'J13', 'J26', 'J28', 'J74', 'J118', 'J346', 'J377', 'J729', 'J784', 'J794', 'J797', 'J898', 'J925', 'J1001']",Thiococcus pfennigii

653,DSM 11393,"['1', '63', '381']",Desulfovibrio litoralis

654,DSM 4684,"['65', '514b', '602', 'J26', 'J43']",Halomonas subglaciescola

655,DSM 5179,"['9', '189']",Phialophora cyclaminis

656,DSM 53070,['9'],Nannocystis exedens

657,DSM 18383,['381a'],Alcanivorax sp.

658,DSM 26120,['535'],Phytobacter massiliensis

659,DSM 52247,['9'],Myxococcus virescens

660,DSM 70577,['186'],Schizosaccharomyces pombe var. pombe

661,DSM 53503,['9'],Sorangium cellulosum

662,DSM 63302,['191'],Humicola brunnea var. brunnea

663,DSM 26919,"['65', 'J26', 'J43']",Nakamurella panacisegetis

664,DSM 111039,['514'],Tenacibaculum sp.

665,DSM 101445,['1593'],Synechocystis sp.

666,DSM 26102,"['220', '693']",Achromobacter xylosoxidans subsp. xylosoxidans

667,DSM 44292,"['354', '645']",Mycobacterium asiaticum

668,DSM 52862,['9'],Archangium violaceum

669,DSM 41060,"['65', '252', 'J58']",Streptomyces sp.

670,DSM 23862,"['372', 'J377']",Gracilibacillus thailandensis

671,DSM 41323,"['65', '84']",Streptomyces sp.

672,DSM 22108,['1322'],Methyloferula stellata

673,DSM 2349,"['1', '220', '372', '514', '693', '830', 'J168']",Bacillus sp.

674,DSM 8990,['640'],Caldicellulosiruptor sp.

675,DSM 103865,['92'],Micrococcus luteus

676,DSM 25223,['1463'],Pseudobdellovibrio exovorus

677,DSM 112910,['381'],Phage (phagum)

678,DSM 107354,"['514', 'J118']",Zhongshania aliphaticivorans

679,DSM 22173,['514'],Gracilibacillus sp.

680,DSM 26350,"['1517', 'J118']",Algibacter alginicilyticus

681,DSM 27379,['514'],Litorimonas sp.

682,DSM 100022,['98'],Mesorhizobium robiniae

683,DSM 41574,['65'],Streptomyces lavendulae subsp. lavendulae

684,DSM 23594,"['78', '104', 'J705']",Selenomonas bovis

685,DSM 29166,['1a'],Pseudomonas weihenstephanensis

686,DSM 27208,"['927', 'J294']",Natronoarchaeum philippinense

687,DSM 45884,"['65', '535', '554']",Micromonospora maoerensis

688,DSM 9312,"['1', '535']",Acinetobacter pittii

689,DSM 44233,"['535', '736', 'J26']",Nakamurella multipartita

690,DSM 17857,['514'],Paraliobacillus quinghaiensis

691,DSM 30656,['220'],Staphylococcus haemolyticus

692,DSM 40424,['65'],Streptomyces sp.

693,DSM 2190,"['11', '90', '92', '123', '220', '514', '585', '1076b']",Mucor amphibiorum

694,DSM 113507,['92'],Staphylococcus aureus

695,DSM 4504,"['65', '90', '215', '535', '553', '554', 'J25', 'J28', 'J30', 'J43', 'J50', 'J51', 'J57', 'J58', 'J61']",Tilletiopsis washingtonensis

696,DSM 112683,"['693', '1203a']",Bacteroides hominis

697,DSM 16228,['838'],Desulfitobacterium hafniense

698,DSM 2185,"['58', '90', '383', '535', '535b', '545', '1031a', '1211', '1327', '1409', 'J13', 'J772']",Mucor indicus

699,DSM 62161,['129'],Fusarium avenaceum

700,DSM 45303,"['65', '987']",Pseudonocardia antimicrobica

701,DSM 62631,['187'],Eurotium rubrum

702,DSM 50418,"['123', '514', 'J22']",Marinobacter nauticus

703,DSM 53492,['9'],Sorangium cellulosum

704,DSM 106012,['693'],Erysipelothrix aquatica

705,DSM 4525,"['65', '84', '90', '215', '535', '535a', '553', '554', '645', '656', '693', 'J26', 'J42', 'J43', 'J51', 'J386']",Ustilago onumae

706,DSM 104448,"['65', 'J43']",Kibdelosporangium phytohabitans

707,DSM 46169,['426'],Saccharopolyspora rectivirgula

708,DSM 51193,['9'],Corallococcus coralloides

709,DSM 22564,['830'],Fibrisoma limi

710,DSM 46832,"['65', '554']",Plantactinospora soyae

711,DSM 45094,"['65', '535', 'J26', 'J28']",Gordonia shandongensis

712,DSM 102704,['1'],Rhizobium sp.

713,DSM 26408,"['92', '693']",Enterococcus plantarum

714,DSM 14684,"['92', 'J245']",Conexibacter woesei

715,DSM 102543,"['65', '84']",Streptomyces sp.

716,DSM 41783,"['65', '84', '252', '554', 'J58']",Streptomyces stramineus

717,DSM 1795,"['1a', '104b', '220', '504', '545', '830', 'J548']",Bacillus aminovorans

718,DSM 22127,"['65', '92', '535', 'J43']",Marmoricola scoriae

719,DSM 45553,['65'],Nocardia sp.

720,DSM 45265,"['1159', 'J275', 'J487']",Prauserella salsuginis

721,DSM 44468,"['65', '83', 'J42']",Amycolatopsis sacchari

722,DSM 15015,"['830c', '1315']",Acidovorax sp.

723,DSM 12252,['628'],Prosthecobacter vanneervenii

724,DSM 25523,"['830', 'J74']",Brevibacillus fulvus

725,DSM 452,"['1', '65', '84', '88', '90', '129', '215', '250', '252', '402', '514', '514b', '535', '535a', '553', '554', '645', '656', '693', '830', '987', '1108', '1108a', '1109', '1159', '1189', '1240', '1261', '1302', '1342', 'J26', 'J28', 'J42', 'J43', 'J50', 'J51', 'J52', 'J57', 'J61', 'J104', 'J118', 'J275', 'J351', 'J386', 'J475', 'J487', 'J618', 'J619', 'J693', 'J736', 'J1174', 'J1178']",Alicyclobacillus acidocaldarius subsp. acidocaldarius

726,DSM 112881,['381'],Phage (phagum)

727,DSM 21881,['28'],Allochromatium humboldtianum

728,DSM 17087,['220'],Pseudomonas stutzeri

729,DSM 43701,"['65', '554']",Micromonospora gifhornensis

730,DSM 41472,"['65', '252', 'J50', 'J66']",Streptomyces coeruleoprunus

731,DSM 105538,['293'],Atribacter laminatus

732,DSM 109496,['220'],Paenibacillus sp.

733,DSM 11226,['186'],Candida glabrata

734,DSM 51676,['9'],Corallococcus coralloides

735,DSM 17835,"['1', '535']",Pseudomonas extremaustralis

736,DSM 6383,"['1a', '465', '535']",Sphingobium xenophagum

737,DSM 53341,['9'],Sorangium cellulosum

738,DSM 51761,['9'],Corallococcus coralloides

739,DSM 45774,"['65', 'J51']",Actinomycetospora straminea

740,DSM 14477,['925'],Thiomicrospira cyclica

741,DSM 6942,['31'],Bacillus sp.

742,DSM 14761,['104c'],Phascolarctobacterium faecium

743,DSM 13989,"['104', '693', 'J14']",Olsenella profusa

744,DSM 10277,"['1', '92', '220', '250', '535', '705', '830']",Bacillus infernus

745,DSM 53517,['9'],Sorangium cellulosum

746,DSM 43952,['65'],Rhodococcus sp.

747,DSM 25394,['65'],Microvirga makkahensis
